Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Jun-2021,29-Jul-2021,15816.05,15876.20,15737.05,15752.15,15747.00,15752.15,134926.00,1066811.48,9657400.00,227650.00,-
NIFTY,30-Jun-2021,30-Sep-2021,15900.60,15968.35,15839.00,15853.30,15851.80,15853.30,888.00,7064.66,45900.00,10300.00,-
NIFTY,30-Jun-2021,26-Aug-2021,15843.40,15918.00,15787.30,15800.80,15798.10,15800.80,3782.00,29987.09,455500.00,23750.00,-
NIFTY,29-Jun-2021,29-Jul-2021,15843.10,15860.00,15758.70,15785.60,15795.00,15785.60,118797.00,938402.39,9429750.00,-46650.00,15748.45
NIFTY,29-Jun-2021,26-Aug-2021,15866.40,15907.70,15809.00,15832.25,15840.25,15832.25,3999.00,31680.66,431750.00,5100.00,15748.45
NIFTY,29-Jun-2021,30-Sep-2021,15905.35,15951.00,15862.35,15883.35,15890.00,15883.35,596.00,4737.07,35600.00,4600.00,15748.45
NIFTY,28-Jun-2021,30-Sep-2021,16000.00,16017.05,15930.00,15952.40,15955.30,15952.40,495.00,3952.05,31000.00,6200.00,-
NIFTY,28-Jun-2021,26-Aug-2021,15962.50,15973.80,15880.85,15901.15,15908.25,15901.15,2688.00,21397.56,426650.00,5100.00,-
NIFTY,28-Jun-2021,29-Jul-2021,15921.15,15930.00,15825.45,15854.95,15861.65,15854.95,86923.00,689722.89,9476400.00,-135700.00,-
NIFTY,25-Jun-2021,30-Sep-2021,15931.70,15990.00,15897.90,15978.05,15968.70,15978.05,766.00,6106.01,24800.00,24800.00,-
NIFTY,25-Jun-2021,26-Aug-2021,15979.95,15979.95,15851.00,15936.00,15930.00,15936.00,2892.00,22999.59,421550.00,22600.00,-
NIFTY,25-Jun-2021,29-Jul-2021,15852.20,15900.00,15802.20,15888.00,15880.00,15888.00,108637.00,861330.47,9612100.00,289200.00,-
NIFTY,24-Jun-2021,24-Jun-2021,15722.50,15819.55,15687.25,15791.45,15790.00,15790.45,100504.00,1188798.99,1768725.00,-2465250.00,15790.45
NIFTY,24-Jun-2021,29-Jul-2021,15768.00,15860.00,15735.70,15832.45,15839.10,15832.45,147070.00,1163252.70,9322900.00,3404300.00,15790.45
NIFTY,24-Jun-2021,30-Sep-2021,-,-,-,-,-,-,-,-,-,-,-
NIFTY,24-Jun-2021,26-Aug-2021,15795.40,15902.00,15756.50,15879.10,15880.35,15879.10,5459.00,43291.32,398950.00,125300.00,15790.45
NIFTY,23-Jun-2021,29-Jul-2021,15885.00,15885.00,15725.00,15742.35,15743.00,15742.35,86303.00,681591.71,5918600.00,1516750.00,15686.95
NIFTY,23-Jun-2021,24-Jun-2021,15792.20,15864.60,15677.00,15695.90,15694.00,15695.90,102244.00,1207911.77,4233975.00,-1854525.00,15686.95
NIFTY,23-Jun-2021,26-Aug-2021,15900.30,15930.55,15780.00,15791.40,15785.00,15791.40,2917.00,23111.38,273650.00,14400.00,15686.95
NIFTY,22-Jun-2021,24-Jun-2021,15810.00,15876.35,15751.10,15773.25,15757.00,15773.25,101742.00,1207745.11,6088500.00,-1896000.00,-
NIFTY,22-Jun-2021,26-Aug-2021,15901.00,15960.75,15847.30,15863.75,15851.70,15863.75,3535.00,28136.37,259250.00,36750.00,-
NIFTY,22-Jun-2021,29-Jul-2021,15839.85,15919.00,15797.00,15817.10,15800.05,15817.10,72244.00,573392.72,4401850.00,1866950.00,-
NIFTY,21-Jun-2021,24-Jun-2021,15548.00,15760.20,15509.50,15743.80,15748.85,15743.80,108957.00,1277845.82,7984500.00,-774750.00,-
NIFTY,21-Jun-2021,29-Jul-2021,15620.10,15806.65,15557.50,15791.80,15794.55,15791.80,44215.00,346854.45,2534900.00,745650.00,-
NIFTY,21-Jun-2021,26-Aug-2021,15652.05,15852.00,15620.00,15839.25,15845.00,15839.25,3468.00,27270.81,222500.00,25900.00,-
NIFTY,18-Jun-2021,26-Aug-2021,15854.95,15855.00,15586.65,15800.20,15829.65,15800.20,4187.00,32900.58,196600.00,22900.00,15683.35
NIFTY,18-Jun-2021,29-Jul-2021,15789.95,15795.40,15521.00,15750.05,15780.00,15750.05,37016.00,289973.83,1789250.00,258250.00,15683.35
NIFTY,18-Jun-2021,24-Jun-2021,15758.00,15774.00,15465.10,15696.70,15727.50,15696.70,158662.00,1858569.46,8759250.00,-1143900.00,15683.35
