Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,28-Mar-2024,30-May-2024,22510.00,22779.95,22503.10,22635.10,22610.00,22635.10,16271.00,184400.90,1563400.00,15300.00,22326.90
NIFTY,28-Mar-2024,27-Jun-2024,-,-,-,-,-,-,-,-,-,-,22326.90
NIFTY,28-Mar-2024,28-Mar-2024,22194.35,22528.80,22183.95,22342.30,22327.05,22326.90,163349.00,1827459.91,5298700.00,-712150.00,22326.90
NIFTY,28-Mar-2024,25-Apr-2024,22340.00,22640.00,22340.00,22488.20,22464.95,22488.20,252094.00,2838429.83,10663650.00,2310850.00,22326.90
NIFTY,27-Mar-2024,30-May-2024,22413.20,22521.25,22402.45,22483.70,22503.00,22483.70,4060.00,45652.73,1548100.00,14200.00,22123.65
NIFTY,27-Mar-2024,25-Apr-2024,22265.00,22380.00,22254.20,22331.80,22355.00,22331.80,96102.00,1073669.72,8352800.00,2420850.00,22123.65
NIFTY,27-Mar-2024,28-Mar-2024,22099.00,22210.00,22081.55,22167.05,22194.00,22167.05,118439.00,1313048.13,6010850.00,-1809000.00,22123.65
NIFTY,26-Mar-2024,28-Mar-2024,22026.25,22150.00,21850.00,22088.55,22095.00,22088.55,131913.00,1457829.44,7819850.00,-2209850.00,22004.70
NIFTY,26-Mar-2024,25-Apr-2024,22260.00,22322.95,22210.00,22260.55,22265.00,22260.55,73024.00,813384.44,5931950.00,1858800.00,22004.70
NIFTY,26-Mar-2024,30-May-2024,22424.00,22471.00,22378.05,22413.20,22419.00,22413.20,3501.00,39258.71,1533900.00,42650.00,22004.70
NIFTY,22-Mar-2024,25-Apr-2024,22240.00,22420.40,22122.70,22335.35,22322.00,22335.35,49898.00,556306.45,4073150.00,673850.00,22096.75
NIFTY,22-Mar-2024,28-Mar-2024,22060.00,22258.00,21953.85,22165.45,22155.00,22165.45,169540.00,1875171.58,10029700.00,-1430500.00,22096.75
NIFTY,22-Mar-2024,30-May-2024,22380.00,22564.95,22280.00,22478.00,22475.65,22478.00,6173.00,69289.21,1491250.00,-15350.00,22096.75
NIFTY,21-Mar-2024,28-Mar-2024,22070.00,22149.00,22020.00,22102.50,22118.90,22102.50,133047.00,1469419.26,11460200.00,-256650.00,22011.95
NIFTY,21-Mar-2024,30-May-2024,22349.45,22450.80,22300.00,22416.30,22426.00,22416.30,4221.00,47269.84,1506600.00,-14700.00,22011.95
NIFTY,21-Mar-2024,25-Apr-2024,22202.00,22308.00,22185.00,22266.55,22280.70,22266.55,31577.00,351292.26,3399300.00,319200.00,22011.95
NIFTY,20-Mar-2024,28-Mar-2024,21900.00,21988.80,21798.05,21910.05,21919.00,21910.05,137718.00,1508549.98,11716850.00,-218500.00,21839.10
NIFTY,20-Mar-2024,25-Apr-2024,22080.00,22149.85,21963.95,22076.15,22088.00,22076.15,27385.00,302092.51,3080100.00,245900.00,21839.10
NIFTY,20-Mar-2024,30-May-2024,22253.75,22296.05,22119.00,22228.95,22233.00,22228.95,15204.00,168830.53,1521300.00,37000.00,21839.10
NIFTY,19-Mar-2024,30-May-2024,22390.05,22390.15,22194.75,22210.60,22204.00,22210.60,12695.00,141349.30,1484300.00,100200.00,21817.45
NIFTY,19-Mar-2024,25-Apr-2024,22260.00,22260.00,22040.00,22055.95,22060.80,22055.95,26902.00,297419.21,2834200.00,275950.00,21817.45
NIFTY,19-Mar-2024,28-Mar-2024,22070.00,22094.00,21868.00,21886.50,21883.60,21886.50,152613.00,1674882.32,11935350.00,-751200.00,21817.45
NIFTY,18-Mar-2024,28-Mar-2024,22143.95,22219.65,22018.25,22135.45,22134.00,22135.45,118534.00,1310929.75,12686550.00,133700.00,-
NIFTY,18-Mar-2024,25-Apr-2024,22275.00,22373.25,22185.40,22298.25,22293.50,22298.25,22648.00,252222.32,2558250.00,171850.00,-
NIFTY,18-Mar-2024,30-May-2024,22351.75,22519.95,22339.00,22440.90,22444.70,22440.90,12843.00,143896.39,1384100.00,200850.00,-
NIFTY,15-Mar-2024,25-Apr-2024,22339.85,22353.00,22170.00,22295.55,22291.80,22295.55,35066.00,389908.20,2386400.00,179800.00,22023.35
NIFTY,15-Mar-2024,28-Mar-2024,22185.65,22192.75,22000.00,22133.20,22120.00,22133.20,179780.00,1986435.24,12552850.00,-354800.00,22023.35
NIFTY,15-Mar-2024,30-May-2024,22476.00,22486.60,22300.50,22435.60,22433.05,22435.60,13662.00,152868.40,1183250.00,117050.00,22023.35
NIFTY,14-Mar-2024,30-May-2024,22368.00,22609.55,22336.05,22545.25,22543.00,22545.25,4148.00,46688.86,1066200.00,-20900.00,22146.65
NIFTY,14-Mar-2024,28-Mar-2024,22080.00,22329.60,22034.80,22264.55,22256.80,22264.55,178685.00,1984648.55,12907650.00,731900.00,22146.65
NIFTY,14-Mar-2024,25-Apr-2024,22250.00,22485.00,22200.05,22421.80,22417.30,22421.80,16184.00,181090.57,2206600.00,-13700.00,22146.65
NIFTY,13-Mar-2024,28-Mar-2024,22505.00,22515.00,22025.00,22103.25,22076.45,22103.25,229024.00,2545131.71,12175750.00,-326850.00,-
NIFTY,13-Mar-2024,30-May-2024,22748.30,22763.10,22325.90,22397.00,22382.00,22397.00,6584.00,74132.88,1087100.00,84300.00,-
NIFTY,13-Mar-2024,25-Apr-2024,22617.75,22640.55,22190.00,22259.75,22240.00,22259.75,30224.00,338065.48,2220300.00,93450.00,-
NIFTY,12-Mar-2024,30-May-2024,22687.05,22808.95,22660.05,22721.15,22723.45,22721.15,3100.00,35253.67,1002800.00,49400.00,22335.70
NIFTY,12-Mar-2024,25-Apr-2024,22574.85,22688.95,22534.05,22601.45,22598.00,22601.45,9040.00,102237.45,2126850.00,650.00,22335.70
NIFTY,12-Mar-2024,28-Mar-2024,22447.90,22537.90,22378.00,22447.05,22437.00,22447.05,122450.00,1375246.42,12502600.00,447650.00,22335.70
NIFTY,11-Mar-2024,28-Mar-2024,22608.00,22608.00,22392.50,22421.35,22404.10,22421.35,124034.00,1394608.18,12054950.00,-546700.00,22332.65
NIFTY,11-Mar-2024,25-Apr-2024,22725.00,22725.90,22548.00,22574.85,22565.00,22574.85,11927.00,135076.83,2126200.00,157300.00,22332.65
NIFTY,11-Mar-2024,30-May-2024,22810.00,22849.95,22673.35,22701.50,22685.00,22701.50,4222.00,48046.22,953400.00,54600.00,22332.65
NIFTY,07-Mar-2024,25-Apr-2024,22732.85,22756.00,22673.50,22692.60,22680.00,22692.60,6038.00,68575.44,1968900.00,65900.00,-
NIFTY,07-Mar-2024,28-Mar-2024,22602.05,22619.90,22526.30,22552.35,22538.00,22552.35,106179.00,1198389.49,12601650.00,-735500.00,-
NIFTY,07-Mar-2024,30-May-2024,22850.00,22871.00,22794.00,22809.95,22798.70,22809.95,3424.00,39093.99,898800.00,43300.00,-
NIFTY,06-Mar-2024,25-Apr-2024,22551.25,22746.90,22470.85,22735.55,22741.80,22735.55,10396.00,117511.41,1903000.00,-45700.00,22474.05
NIFTY,06-Mar-2024,30-May-2024,22642.45,22859.00,22589.85,22847.50,22853.00,22847.50,4604.00,52329.98,855500.00,63550.00,22474.05
NIFTY,06-Mar-2024,28-Mar-2024,22398.00,22605.00,22322.00,22593.05,22602.00,22593.05,187651.00,2107391.41,13337150.00,1135200.00,22474.05
NIFTY,05-Mar-2024,28-Mar-2024,22500.00,22517.25,22352.00,22433.25,22436.95,22433.25,124564.00,1397125.11,12201950.00,-507100.00,22356.30
NIFTY,05-Mar-2024,25-Apr-2024,22605.05,22659.95,22500.35,22580.95,22584.60,22580.95,19464.00,219841.11,1948700.00,564000.00,22356.30
NIFTY,05-Mar-2024,30-May-2024,22724.05,22775.00,22625.00,22697.25,22696.40,22697.25,13887.00,157666.80,791950.00,556900.00,22356.30
NIFTY,04-Mar-2024,30-May-2024,22769.95,22800.00,22730.05,22759.75,22755.00,22759.75,2985.00,33971.16,235050.00,69550.00,22405.60
NIFTY,04-Mar-2024,25-Apr-2024,22890.30,22890.30,22605.45,22639.85,22635.00,22639.85,7453.00,84375.60,1384700.00,197700.00,22405.60
NIFTY,04-Mar-2024,28-Mar-2024,22510.00,22544.95,22466.00,22497.95,22500.95,22497.95,75588.00,850471.08,12709050.00,-130700.00,22405.60
NIFTY,02-Mar-2024,28-Mar-2024,22502.45,22547.00,22443.50,22502.00,22507.00,22502.00,27698.00,311367.00,12839750.00,-73750.00,-
NIFTY,02-Mar-2024,25-Apr-2024,22599.00,22650.00,22530.15,22640.60,22649.00,22640.60,2030.00,22961.77,1187000.00,11700.00,-
NIFTY,02-Mar-2024,30-May-2024,22732.35,22775.00,22710.35,22761.55,22772.00,22761.55,678.00,7711.68,165500.00,14650.00,-
NIFTY,01-Mar-2024,25-Apr-2024,22344.00,22593.00,22337.45,22579.20,22589.90,22579.20,12150.00,136746.36,1175300.00,187650.00,22338.75
NIFTY,01-Mar-2024,28-Mar-2024,22203.00,22453.45,22180.20,22443.20,22451.25,22443.20,180557.00,2018752.40,12913500.00,-167800.00,22338.75
NIFTY,01-Mar-2024,30-May-2024,22499.50,22715.50,22400.00,22705.25,22705.80,22705.25,4816.00,54533.83,150850.00,150850.00,22338.75
