Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,30-Sep-2022,27-Oct-2022,16815.00,17209.60,16764.25,17103.20,17106.00,17103.20,295474.00,2512363.54,12028850.00,579300.00,17094.35
NIFTY,30-Sep-2022,29-Dec-2022,16881.65,17307.85,16851.00,17212.30,17220.00,17212.30,5558.00,47573.24,97950.00,97950.00,17094.35
NIFTY,30-Sep-2022,24-Nov-2022,16900.00,17254.30,16814.95,17151.70,17160.00,17151.70,17852.00,152175.60,875050.00,164500.00,17094.35
NIFTY,29-Sep-2022,29-Sep-2022,16981.30,17042.95,16786.05,16814.00,16817.40,16818.10,177012.00,1495995.70,3424550.00,-1651050.00,16818.10
NIFTY,29-Sep-2022,27-Oct-2022,16994.85,17058.90,16800.00,16833.30,16850.00,16833.30,217758.00,1840908.39,11449550.00,3103000.00,16818.10
NIFTY,29-Sep-2022,24-Nov-2022,17100.00,17108.00,16853.65,16887.50,16900.00,16887.50,12552.00,106443.77,710550.00,96950.00,16818.10
NIFTY,29-Sep-2022,29-Dec-2022,-,-,-,-,-,-,-,-,-,-,-
NIFTY,28-Sep-2022,24-Nov-2022,17002.00,17127.00,16920.10,16938.30,16921.00,16938.30,11902.00,101215.63,613600.00,121550.00,16858.60
NIFTY,28-Sep-2022,29-Sep-2022,16863.05,17033.00,16833.70,16858.70,16838.10,16858.70,241255.00,2041696.11,5075600.00,-3118000.00,16858.60
NIFTY,28-Sep-2022,27-Oct-2022,16910.00,17074.00,16861.00,16886.95,16866.00,16886.95,164730.00,1397400.12,8346550.00,3518500.00,16858.60
NIFTY,27-Sep-2022,24-Nov-2022,17244.45,17288.80,17064.10,17123.95,17164.00,17123.95,9660.00,82914.51,492050.00,-60600.00,-
NIFTY,27-Sep-2022,27-Oct-2022,17132.50,17225.00,16996.30,17071.90,17098.30,17071.90,92122.00,787844.97,4828050.00,1237450.00,-
NIFTY,27-Sep-2022,29-Sep-2022,17099.85,17174.90,16946.00,17018.65,17055.00,17018.65,236488.00,2016539.95,8193600.00,-1496050.00,-
NIFTY,26-Sep-2022,27-Oct-2022,17305.00,17305.00,17038.75,17082.15,17092.00,17082.15,79991.00,685493.56,3590600.00,848600.00,17016.30
NIFTY,26-Sep-2022,24-Nov-2022,17302.00,17350.10,17109.00,17151.45,17156.00,17151.45,9407.00,80949.72,552650.00,53750.00,17016.30
NIFTY,26-Sep-2022,29-Sep-2022,17175.00,17211.85,16981.10,17028.75,17037.00,17028.75,247495.00,2113798.74,9689650.00,-1145150.00,17016.30
NIFTY,23-Sep-2022,27-Oct-2022,17650.20,17691.75,17352.40,17394.20,17395.00,17394.20,48740.00,426166.29,2742000.00,370950.00,-
NIFTY,23-Sep-2022,29-Sep-2022,17587.95,17638.30,17291.15,17335.85,17335.15,17335.85,245085.00,2136077.12,10834800.00,-67000.00,-
NIFTY,23-Sep-2022,24-Nov-2022,17700.05,17773.00,17420.90,17459.75,17460.00,17459.75,8390.00,73638.65,498900.00,56900.00,-
