Symbol  ,Date  ,Expiry  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,31-Dec-2021,27-Jan-2022,17268.00,17448.00,17265.10,17409.95,17420.00,17409.95,139153.00,1210257.13,10274450.00,670250.00,17354.05
NIFTY,31-Dec-2021,31-Mar-2022,17381.70,17531.15,17381.70,17496.90,17501.00,17496.90,2092.00,18289.10,63200.00,63200.00,17354.05
NIFTY,31-Dec-2021,24-Feb-2022,17328.85,17493.50,17322.70,17453.85,17470.90,17453.85,5120.00,44643.20,829700.00,25050.00,17354.05
NIFTY,30-Dec-2021,27-Jan-2022,17249.90,17316.90,17200.00,17267.95,17285.00,17267.95,127215.00,1099210.01,9604200.00,2856300.00,17203.95
NIFTY,30-Dec-2021,24-Feb-2022,17288.85,17364.00,17258.70,17317.45,17331.25,17317.45,5244.00,45442.11,804650.00,65150.00,17203.95
NIFTY,30-Dec-2021,31-Mar-2022,-,-,-,-,-,-,-,-,-,-,-
NIFTY,30-Dec-2021,30-Dec-2021,17189.90,17258.90,17151.60,17201.70,17207.20,17203.95,130003.00,1119481.59,2782000.00,-2042950.00,17203.95
NIFTY,29-Dec-2021,24-Feb-2022,17348.60,17384.00,17290.15,17320.15,17299.15,17320.15,2935.00,25444.88,739500.00,33600.00,17213.60
NIFTY,29-Dec-2021,27-Jan-2022,17274.95,17332.90,17234.75,17263.35,17248.70,17263.35,79248.00,684814.73,6747900.00,2082500.00,17213.60
NIFTY,29-Dec-2021,30-Dec-2021,17238.00,17287.00,17186.05,17215.90,17199.00,17215.90,131710.00,1135057.72,4824950.00,-2234950.00,17213.60
NIFTY,28-Dec-2021,24-Feb-2022,17265.00,17360.00,17126.85,17346.55,17360.00,17346.55,3325.00,28792.79,705900.00,4850.00,-
NIFTY,28-Dec-2021,27-Jan-2022,17200.00,17311.15,17200.00,17290.00,17300.00,17290.00,55795.00,481615.69,4665400.00,1443350.00,-
NIFTY,28-Dec-2021,30-Dec-2021,17175.00,17258.80,17160.50,17246.75,17257.00,17246.75,128470.00,1105969.68,7059900.00,-1385150.00,-
NIFTY,27-Dec-2021,27-Jan-2022,16955.00,17178.95,16894.25,17151.00,17165.00,17151.00,49938.00,426615.50,3222050.00,905200.00,-
NIFTY,27-Dec-2021,24-Feb-2022,17011.90,17238.75,16945.05,17212.90,17224.00,17212.90,13811.00,118660.28,701050.00,475200.00,-
NIFTY,27-Dec-2021,30-Dec-2021,16950.00,17129.00,16842.40,17103.40,17118.00,17103.40,174248.00,1482624.25,8445050.00,-970300.00,-
NIFTY,24-Dec-2021,27-Jan-2022,17195.00,17195.00,16978.10,17047.15,17052.00,17047.15,39670.00,338276.51,2316850.00,642050.00,-
NIFTY,24-Dec-2021,30-Dec-2021,17150.00,17160.00,16920.00,17003.80,17002.95,17003.80,165621.00,1408447.03,9415350.00,-336950.00,-
NIFTY,24-Dec-2021,24-Feb-2022,17219.95,17239.40,17024.30,17097.15,17100.00,17097.15,2615.00,22361.75,225850.00,22850.00,-
NIFTY,23-Dec-2021,24-Feb-2022,17099.00,17240.00,17099.00,17171.85,17151.00,17171.85,2169.00,18633.13,203000.00,6500.00,-
NIFTY,23-Dec-2021,27-Jan-2022,17225.00,17225.00,17095.30,17129.50,17114.70,17129.50,19482.00,166956.62,1674800.00,114250.00,-
NIFTY,23-Dec-2021,30-Dec-2021,17075.00,17150.00,17040.55,17078.45,17059.00,17078.45,157470.00,1345266.45,9752300.00,90750.00,-
NIFTY,22-Dec-2021,30-Dec-2021,16877.00,16985.00,16832.20,16973.35,16976.25,16973.35,150826.00,1275549.89,9661550.00,-103300.00,-
NIFTY,22-Dec-2021,27-Jan-2022,16925.45,17037.20,16887.45,17026.50,17032.55,17026.50,19244.00,163209.66,1560550.00,77250.00,-
NIFTY,22-Dec-2021,24-Feb-2022,16995.70,17075.00,16939.80,17065.75,17073.00,17065.75,2033.00,17287.77,196500.00,3000.00,-
NIFTY,21-Dec-2021,30-Dec-2021,16751.00,16955.00,16708.50,16800.95,16814.00,16800.95,234126.00,1970852.27,9764850.00,-534950.00,-
NIFTY,21-Dec-2021,27-Jan-2022,16797.95,17003.65,16750.00,16854.30,16864.40,16854.30,28721.00,242553.35,1483300.00,55350.00,-
NIFTY,21-Dec-2021,24-Feb-2022,16850.00,17046.70,16750.00,16901.50,16910.10,16901.50,3641.00,30827.41,193500.00,-14750.00,-
NIFTY,20-Dec-2021,24-Feb-2022,16991.05,16997.15,16540.15,16737.35,16730.00,16737.35,4962.00,41537.23,208250.00,10450.00,-
NIFTY,20-Dec-2021,27-Jan-2022,16950.15,16950.15,16492.10,16689.05,16685.00,16689.05,36614.00,305286.72,1427950.00,299000.00,-
NIFTY,20-Dec-2021,30-Dec-2021,16848.70,16918.70,16431.30,16635.05,16628.35,16635.05,295989.00,2459922.89,10299800.00,-621800.00,-
NIFTY,17-Dec-2021,30-Dec-2021,17310.05,17310.05,17000.00,17023.50,17022.00,17023.50,213850.00,1827714.02,10921600.00,98500.00,-
NIFTY,17-Dec-2021,27-Jan-2022,17334.50,17351.50,17061.25,17083.35,17087.10,17083.35,16560.00,141967.68,1128950.00,111950.00,-
NIFTY,17-Dec-2021,24-Feb-2022,17256.65,17386.20,17111.00,17129.90,17130.00,17129.90,3472.00,29851.71,197800.00,42800.00,-
NIFTY,16-Dec-2021,27-Jan-2022,17434.35,17446.00,17292.25,17372.05,17400.00,17372.05,9141.00,79340.88,1017000.00,-2150.00,-
NIFTY,16-Dec-2021,30-Dec-2021,17390.00,17400.00,17233.00,17317.50,17340.05,17317.50,187313.00,1620869.87,10823100.00,-1163700.00,-
NIFTY,16-Dec-2021,24-Feb-2022,17470.65,17485.35,17340.00,17419.85,17440.40,17419.85,1565.00,13615.51,155000.00,4600.00,-
NIFTY,15-Dec-2021,30-Dec-2021,17325.00,17379.50,17217.00,17260.80,17247.65,17260.80,160456.00,1386600.65,11986800.00,148700.00,-
