Date,strategy,position,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2022-03-03,data_driven,LONG,2022-03-31,28,16741.0,16505.6,50,-11770.000000000073,False
2022-03-07,data_driven,LONG,2022-03-31,24,15900.0,15872.2,50,-1389.9999999999636,True
2022-03-10,data_driven,SHORT,2022-03-31,21,16730.0,16611.9,50,5904.999999999927,True
2022-03-16,data_driven,SHORT,2022-03-31,15,16870.0,17008.75,50,-6937.5,False
2022-04-06,data_driven,SHORT,2022-04-28,22,17897.0,17867.45,50,1477.4999999999636,True
2022-04-27,data_driven,LONG,2022-04-28,1,17078.0,17053.8,50,-1210.0000000000364,True
2022-05-04,data_driven,LONG,2022-05-26,22,17115.1,16702.5,50,-20629.999999999927,True
2022-05-11,data_driven,LONG,2022-05-26,15,16256.7,16177.95,50,-3937.5,True
2022-06-13,data_driven,LONG,2022-06-30,17,15900.1,15766.25,50,-6692.500000000018,True
2022-06-20,data_driven,LONG,2022-06-30,10,15340.0,15347.65,50,382.4999999999818,False
2022-06-29,data_driven,LONG,2022-06-30,1,15701.1,15779.9,50,3939.9999999999636,True
2022-07-11,data_driven,SHORT,2022-07-28,17,16152.0,16203.5,50,-2575.0,True
2022-08-04,data_driven,LONG,2022-08-25,21,17456.0,17387.85,50,-3407.5000000000728,True
2022-08-29,data_driven,LONG,2022-09-29,31,17290.0,17370.25,50,4012.5,True
2022-09-14,data_driven,LONG,2022-09-29,15,17826.65,18020.4,50,9687.5,True
2022-09-21,data_driven,SHORT,2022-09-29,8,17776.35,17731.45,50,2244.999999999891,True
2022-09-26,data_driven,LONG,2022-09-29,3,17175.0,17028.75,50,-7312.5,True
2022-09-29,data_driven,LONG,2022-10-27,28,16994.85,16833.3,50,-8077.499999999964,False
2022-09-30,data_driven,SHORT,2022-10-27,27,16815.0,17103.2,50,-14410.000000000036,True
2022-10-04,data_driven,SHORT,2022-10-27,23,17140.0,17293.0,50,-7650.0,True
2022-10-07,data_driven,LONG,2022-10-27,20,17301.1,17328.85,50,1387.5,False
2022-10-31,data_driven,SHORT,2022-11-24,24,17948.0,18051.05,50,-5152.499999999964,True
2022-11-11,data_driven,SHORT,2022-11-24,13,18332.55,18424.0,50,-4572.500000000036,True
2022-12-07,data_driven,LONG,2022-12-29,22,18680.15,18670.25,50,-495.00000000007276,True
2022-12-14,data_driven,SHORT,2022-12-29,15,18775.55,18748.9,50,1332.4999999998909,True
2022-12-16,data_driven,LONG,2022-12-29,13,18367.0,18328.65,50,-1917.4999999999272,True
2023-01-11,data_driven,LONG,2023-01-25,14,18000.0,17962.95,50,-1852.4999999999636,True
2023-02-15,data_driven,SHORT,2023-02-23,8,17899.8,18035.15,50,-6767.500000000109,True
2023-02-22,data_driven,LONG,2023-02-23,1,17790.0,17566.9,50,-11154.999999999927,True
2023-03-10,data_driven,LONG,2023-03-29,19,17489.8,17452.55,50,-1862.5,True
2023-03-13,data_driven,LONG,2023-03-29,16,17460.0,17205.8,50,-12710.000000000036,True
2023-03-15,data_driven,LONG,2023-03-29,14,17224.95,17037.35,50,-9380.00000000011,True
2023-03-17,data_driven,SHORT,2023-03-29,12,17165.0,17178.15,50,-657.5000000000728,True
2023-03-20,data_driven,LONG,2023-03-29,9,17099.8,17028.9,50,-3544.999999999891,True
2023-03-21,data_driven,LONG,2023-03-29,8,17090.0,17160.15,50,3507.5000000000728,False
2023-03-22,data_driven,SHORT,2023-03-29,7,17211.0,17185.0,50,1300.0,True
2023-04-26,data_driven,LONG,2023-04-27,1,17754.9,17814.9,50,3000.0,True
2023-04-28,data_driven,SHORT,2023-05-25,27,18030.25,18111.15,50,-4045.0000000000728,True
2023-05-03,data_driven,SHORT,2023-05-25,22,18154.9,18149.95,50,247.50000000003638,False
2023-05-05,data_driven,LONG,2023-05-25,20,18180.0,18129.7,50,-2514.9999999999636,True
2023-05-08,data_driven,SHORT,2023-05-25,17,18160.0,18310.4,50,-7520.000000000073,False
2023-08-03,data_driven,LONG,2023-08-31,28,19540.0,19468.15,50,-3592.4999999999272,False
2023-08-16,data_driven,SHORT,2023-08-31,15,19400.4,19484.55,50,-4207.499999999891,True
2023-08-28,data_driven,SHORT,2023-08-31,3,19278.3,19321.3,50,-2150.0,False
2023-09-22,data_driven,LONG,2023-09-28,6,19750.85,19708.25,50,-2129.9999999999272,True
2023-09-27,data_driven,LONG,2023-09-28,1,19634.9,19719.05,50,4207.499999999891,True
2023-10-04,data_driven,LONG,2023-10-26,22,19474.1,19469.25,50,-242.49999999992724,False
2023-10-16,data_driven,LONG,2023-10-26,10,19731.65,19740.4,50,437.5,True
2023-10-17,data_driven,LONG,2023-10-26,9,19834.0,19811.1,50,-1145.0000000000728,False
2023-10-19,data_driven,LONG,2023-10-26,7,19575.0,19618.75,50,2187.5,False
2023-10-20,data_driven,LONG,2023-10-26,6,19549.6,19527.85,50,-1087.5,False
2023-10-25,data_driven,LONG,2023-10-26,1,19306.0,19128.0,50,-8900.0,True
2023-10-31,data_driven,LONG,2023-11-30,30,19275.0,19158.2,50,-5839.999999999964,True
2023-11-01,data_driven,LONG,2023-11-30,29,19144.05,19060.25,50,-4189.999999999964,True
2024-02-14,data_driven,SHORT,2024-02-29,15,21675.0,21916.85,25,-6046.249999999964,False
2024-02-15,data_driven,SHORT,2024-02-29,14,21970.2,22005.05,25,-871.2499999999636,True
2024-04-05,data_driven,SHORT,2024-04-25,20,22570.0,22595.5,25,-637.5,False
2024-04-15,data_driven,LONG,2024-04-25,10,22420.0,22357.3,25,-1567.5000000000182,True
2024-04-16,data_driven,LONG,2024-04-25,9,22176.55,22200.75,25,605.0000000000182,True
