Date,strategy,option_type,strike,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2022-03-03,data_driven,CE,16500.0,2022-03-10,7,435.9,267.05,50,-8442.499999999998,False
2022-03-07,data_driven,CE,15850.0,2022-03-10,3,233.85,237.15,50,165.00000000000057,True
2022-03-10,data_driven,PE,16600.0,2022-03-17,7,245.45,250.55,50,255.00000000000114,True
2022-03-16,data_driven,PE,17000.0,2022-03-17,1,210.9,131.85,50,-3952.5000000000005,False
2022-04-06,data_driven,PE,17800.0,2022-04-07,1,54.0,54.35,50,17.50000000000007,True
2022-04-27,data_driven,CE,17050.0,2022-04-28,1,98.35,79.4,50,-947.4999999999994,True
2022-05-04,data_driven,CE,16700.0,2022-05-05,1,403.25,88.95,50,-15715.0,True
2022-05-11,data_driven,CE,16150.0,2022-05-12,1,182.35,99.65,50,-4134.999999999999,True
2022-06-13,data_driven,CE,15750.0,2022-06-16,3,233.9,156.75,50,-3857.5000000000005,True
2022-06-20,data_driven,CE,15350.0,2022-06-23,3,170.0,138.5,50,-1575.0,False
2022-06-29,data_driven,CE,15800.0,2022-06-30,1,77.75,73.6,50,-207.50000000000028,True
2022-07-11,data_driven,PE,16200.0,2022-07-14,3,153.0,111.0,50,-2100.0,True
2022-08-04,data_driven,CE,17400.0,2022-08-11,7,199.95,160.0,50,-1997.4999999999995,True
2022-08-29,data_driven,CE,17300.0,2022-09-01,3,140.15,124.75,50,-770.0000000000002,True
2022-09-14,data_driven,CE,18000.0,2022-09-15,1,41.0,86.0,50,2250.0,True
2022-09-21,data_driven,PE,17700.0,2022-09-22,1,75.95,110.3,50,1717.4999999999998,True
2022-09-26,data_driven,CE,17000.0,2022-09-29,3,299.0,160.35,50,-6932.5,True
2022-09-29,data_driven,CE,16800.0,2022-10-06,7,290.0,193.65,50,-4817.5,False
2022-09-30,data_driven,PE,17100.0,2022-10-06,6,340.0,158.95,50,-9052.5,True
2022-10-04,data_driven,PE,17250.0,2022-10-06,2,173.1,75.6,50,-4875.0,True
2022-10-07,data_driven,CE,17300.0,2022-10-13,6,137.0,148.05,50,552.5000000000006,False
2022-10-31,data_driven,PE,18000.0,2022-11-03,3,175.0,100.7,50,-3715.0,True
2022-11-11,data_driven,PE,18350.0,2022-11-17,6,150.55,96.2,50,-2717.5000000000005,True
2022-12-07,data_driven,CE,18550.0,2022-12-08,1,159.6,80.05,50,-3977.5,True
2022-12-14,data_driven,PE,18650.0,2022-12-15,1,70.2,47.45,50,-1137.5,True
2022-12-16,data_driven,CE,18250.0,2022-12-22,6,173.1,126.25,50,-2342.4999999999995,True
2023-01-11,data_driven,CE,17900.0,2023-01-12,1,96.3,63.75,50,-1627.4999999999998,True
2023-02-15,data_driven,PE,18000.0,2023-02-16,1,123.0,40.85,50,-4107.5,True
2023-02-22,data_driven,CE,17550.0,2023-02-23,1,227.15,62.8,50,-8217.500000000002,True
