structure,strategy,window,test_period,n_trades,win_rate,iv_direction_accuracy,total_pnl
butterfly,data_driven,1,W1: 2021-07 to 2021-12,5,0.8,0.8,28871.25000000003
butterfly,data_driven,2,W2: 2022-01 to 2022-06,5,0.6,0.6,18222.499999999793
butterfly,data_driven,3,W3: 2022-07 to 2022-12,8,0.625,0.75,28964.999999999694
butterfly,data_driven,4,W4: 2023-01 to 2023-06,6,0.16666666666666666,0.6666666666666666,-41324.99999999974
butterfly,data_driven,5,W5: 2023-07 to 2023-12,8,0.625,0.625,13327.500000000005
butterfly,data_driven,6,W6: 2024-01 to 2024-06,4,0.5,0.5,-1853.75000000015
butterfly,data_driven,7,W7: 2024-07 to 2024-12,18,0.5,0.5555555555555556,602.5000000002187
butterfly,data_driven,8,W8: 2025-01 to 2025-06,31,0.41935483870967744,0.5161290322580645,-52642.5
butterfly,manual_agree,1,W1: 2021-07 to 2021-12,2,1.0,1.0,13747.500000000247
butterfly,manual_agree,2,W2: 2022-01 to 2022-06,2,0.5,1.0,-1535.0000000001091
butterfly,manual_agree,3,W3: 2022-07 to 2022-12,3,0.6666666666666666,1.0,4392.500000000002
butterfly,manual_agree,4,W4: 2023-01 to 2023-06,4,0.0,1.0,-35809.99999999994
butterfly,manual_agree,5,W5: 2023-07 to 2023-12,2,0.5,0.0,-1644.9999999999955
butterfly,manual_agree,6,W6: 2024-01 to 2024-06,1,0.0,0.0,-7519.999999999936
butterfly,manual_agree,7,W7: 2024-07 to 2024-12,8,0.5,0.75,1072.5000000000482
butterfly,manual_agree,8,W8: 2025-01 to 2025-06,12,0.4166666666666667,0.4166666666666667,-14784.999999999993
calendar,data_driven,1,W1: 2021-07 to 2021-12,5,0.4,0.8,-6708.749999999802
calendar,data_driven,2,W2: 2022-01 to 2022-06,9,0.5555555555555556,0.7777777777777778,3134.99999999997
calendar,data_driven,3,W3: 2022-07 to 2022-12,10,0.8,0.7,51632.50000000001
calendar,data_driven,4,W4: 2023-01 to 2023-06,10,0.6,0.7,30805.0000000001
calendar,data_driven,5,W5: 2023-07 to 2023-12,12,0.8333333333333334,0.6666666666666666,177100.0
calendar,data_driven,6,W6: 2024-01 to 2024-06,5,0.8,0.4,129287.50000000001
calendar,data_driven,7,W7: 2024-07 to 2024-12,24,0.7916666666666666,0.5416666666666666,466471.24999999994
calendar,data_driven,8,W8: 2025-01 to 2025-06,37,0.4594594594594595,0.4864864864864865,-196232.50000000017
calendar,manual_agree,1,W1: 2021-07 to 2021-12,2,1.0,1.0,17028.75
calendar,manual_agree,2,W2: 2022-01 to 2022-06,3,0.6666666666666666,1.0,14647.499999999956
calendar,manual_agree,3,W3: 2022-07 to 2022-12,6,0.8333333333333334,1.0,55425.00000000003
calendar,manual_agree,4,W4: 2023-01 to 2023-06,6,0.5,1.0,-5594.999999999982
calendar,manual_agree,5,W5: 2023-07 to 2023-12,5,0.8,0.4,49577.499999999956
calendar,manual_agree,6,W6: 2024-01 to 2024-06,2,1.0,0.5,47960.000000000044
calendar,manual_agree,7,W7: 2024-07 to 2024-12,12,0.25,0.8333333333333334,-109547.50000000006
calendar,manual_agree,8,W8: 2025-01 to 2025-06,16,0.375,0.4375,-66694.99999999997
