Date,window,strategy,structure,position,lots,pnl,capital_after,iv_direction_correct
2021-07-28,1,data_driven,butterfly,SHORT_FLY,13,9408.749999999978,109408.74999999997,True
2021-09-29,1,data_driven,butterfly,LONG_FLY,29,10766.250000000098,120175.00000000007,False
2021-12-01,1,data_driven,butterfly,SHORT_FLY,3,9809.999999999993,129985.00000000006,True
2021-12-02,1,data_driven,butterfly,LONG_FLY,50,-7687.500000000043,122297.50000000001,True
2021-12-10,1,data_driven,butterfly,LONG_FLY,1,6573.750000000003,128871.25000000001,True
2022-03-02,2,data_driven,butterfly,SHORT_FLY,2,10814.999999999998,139686.25,True
2022-03-03,2,data_driven,butterfly,SHORT_FLY,13,13357.499999999935,153043.74999999994,False
2022-04-06,2,data_driven,butterfly,SHORT_FLY,2,13425.0,166468.74999999994,False
2022-04-27,2,data_driven,butterfly,SHORT_FLY,50,-16250.000000000142,150218.7499999998,True
2022-06-29,2,data_driven,butterfly,SHORT_FLY,50,-3125.0,147093.7499999998,True
2022-07-11,3,data_driven,butterfly,LONG_FLY,2,13360.000000000002,160453.7499999998,True
2022-08-29,3,data_driven,butterfly,SHORT_FLY,5,15024.99999999999,175478.7499999998,True
2022-09-21,3,data_driven,butterfly,LONG_FLY,17,17467.50000000006,192946.24999999985,True
2022-09-26,3,data_driven,butterfly,SHORT_FLY,5,-18837.499999999993,174108.74999999985,True
2022-09-29,3,data_driven,butterfly,SHORT_FLY,5,15349.999999999996,189458.74999999985,False
2022-09-30,3,data_driven,butterfly,LONG_FLY,50,-5500.000000000256,183958.7499999996,True
2022-10-07,3,data_driven,butterfly,LONG_FLY,15,-17399.999999999993,166558.7499999996,True
2022-10-31,3,data_driven,butterfly,SHORT_FLY,50,9499.999999999887,176058.74999999948,False
2023-03-10,4,data_driven,butterfly,SHORT_FLY,44,-17379.999999999825,158678.74999999965,True
2023-03-17,4,data_driven,butterfly,LONG_FLY,18,-15344.999999999984,143333.74999999968,True
2023-03-21,4,data_driven,butterfly,LONG_FLY,50,-5375.0000000000855,137958.7499999996,True
2023-04-26,4,data_driven,butterfly,LONG_FLY,10,13525.00000000002,151483.74999999962,False
2023-04-28,4,data_driven,butterfly,LONG_FLY,50,-12499.999999999964,138983.74999999965,True
2023-05-03,4,data_driven,butterfly,LONG_FLY,50,-4249.999999999901,134733.74999999974,False
2023-08-03,5,data_driven,butterfly,SHORT_FLY,8,13459.99999999998,148193.7499999997,False
2023-08-28,5,data_driven,butterfly,SHORT_FLY,12,13740.000000000004,161933.7499999997,True
2023-09-27,5,data_driven,butterfly,SHORT_FLY,6,-14655.000000000005,147278.7499999997,True
2023-10-04,5,data_driven,butterfly,SHORT_FLY,8,-13399.999999999978,133878.74999999974,False
2023-10-19,5,data_driven,butterfly,SHORT_FLY,50,1125.0000000000427,135003.74999999977,False
2023-10-25,5,data_driven,butterfly,SHORT_FLY,1,14372.500000000002,149376.24999999977,True
2023-10-31,5,data_driven,butterfly,SHORT_FLY,9,13837.5,163213.74999999977,True
2023-11-01,5,data_driven,butterfly,SHORT_FLY,11,-15152.500000000038,148061.24999999974,True
2024-02-15,6,data_driven,butterfly,SHORT_FLY,50,1124.9999999999004,149186.24999999965,False
2024-04-05,6,data_driven,butterfly,SHORT_FLY,28,14559.999999999967,163746.24999999962,True
2024-04-23,6,data_driven,butterfly,SHORT_FLY,13,-15226.249999999989,148519.99999999962,False
2024-05-30,6,data_driven,butterfly,LONG_FLY,50,-2312.500000000028,146207.4999999996,True
2024-07-23,7,data_driven,butterfly,SHORT_FLY,6,-14039.999999999995,132167.4999999996,False
2024-07-25,7,data_driven,butterfly,SHORT_FLY,5,11199.999999999996,143367.4999999996,True
2024-08-02,7,data_driven,butterfly,SHORT_FLY,11,14024.999999999985,157392.4999999996,True
2024-08-07,7,data_driven,butterfly,SHORT_FLY,50,-14562.49999999997,142829.99999999962,False
2024-08-09,7,data_driven,butterfly,SHORT_FLY,11,13585.000000000011,156414.99999999962,False
