Date,strategy,structure,position,strike,near_expiry,far_expiry,lot_size,pnl,iv_direction_correct,atm_strike,lower_strike,upper_strike,expiry
2021-01-28,manual_agree,calendar,LONG_CALENDAR,13800.0,2021-02-04,2021-02-25,75,300.00000000000216,False,,,,
2021-02-23,manual_agree,calendar,LONG_CALENDAR,14700.0,2021-02-25,2021-03-25,75,382.49999999999955,True,,,,
2021-02-25,manual_agree,calendar,SHORT_CALENDAR,15100.0,2021-03-04,2021-03-25,75,-3150.0,True,,,,
2021-03-04,manual_agree,calendar,LONG_CALENDAR,15100.0,2021-03-10,2021-04-01,75,-5257.500000000002,True,,,,
2021-09-29,manual_agree,calendar,LONG_CALENDAR,17700.0,2021-09-30,2021-10-28,75,2711.2500000000014,True,,,,
2021-12-01,manual_agree,calendar,LONG_CALENDAR,17150.0,2021-12-02,2021-12-30,75,2223.7499999999995,True,,,,
2022-03-02,manual_agree,calendar,LONG_CALENDAR,16600.0,2022-03-03,2022-03-31,50,4727.500000000001,True,,,,
2022-03-10,manual_agree,calendar,SHORT_CALENDAR,16600.0,2022-03-17,2022-04-07,50,-127.50000000000057,True,,,,
2022-04-27,manual_agree,calendar,LONG_CALENDAR,17050.0,2022-04-28,2022-05-26,50,1652.4999999999977,True,,,,
2022-07-11,manual_agree,calendar,SHORT_CALENDAR,16200.0,2022-07-14,2022-08-11,50,1240.0000000000005,True,,,,
2022-08-29,manual_agree,calendar,LONG_CALENDAR,17300.0,2022-09-01,2022-09-29,50,3552.499999999999,True,,,,
2022-09-14,manual_agree,calendar,LONG_CALENDAR,18000.0,2022-09-15,2022-10-13,50,1494.9999999999989,True,,,,
2022-09-26,manual_agree,calendar,LONG_CALENDAR,17000.0,2022-09-29,2022-10-27,50,827.500000000002,True,,,,
2022-10-31,manual_agree,calendar,SHORT_CALENDAR,18000.0,2022-11-03,2022-12-01,50,-1189.9999999999998,True,,,,
2022-12-07,manual_agree,calendar,LONG_CALENDAR,18550.0,2022-12-08,2023-01-05,50,2527.5,True,,,,
2023-02-15,manual_agree,calendar,SHORT_CALENDAR,18000.0,2023-02-16,2023-03-16,50,-967.4999999999998,True,,,,
2023-03-10,manual_agree,calendar,LONG_CALENDAR,17400.0,2023-03-16,2023-04-06,50,1855.0000000000025,True,,,,
2023-03-17,manual_agree,calendar,SHORT_CALENDAR,17100.0,2023-03-23,2023-04-13,50,-1037.4999999999993,True,,,,
2023-03-20,manual_agree,calendar,LONG_CALENDAR,17000.0,2023-03-23,2023-04-20,50,3170.000000000001,True,,,,
2023-03-21,manual_agree,calendar,SHORT_CALENDAR,17100.0,2023-03-23,2023-04-20,50,839.9999999999991,True,,,,
