strategy,year,n_trades,win_rate,iv_direction_accuracy,total_pnl,return_pct_of_100k
data_driven,2022,11,0.8181818181818182,0.8181818181818182,9799.999999999995,9.799999999999995
data_driven,2023,22,0.7272727272727273,0.7272727272727273,24062.500000000007,24.062500000000007
data_driven,2024,32,0.5625,0.59375,908.7499999999982,0.9087499999999981
data_driven,2025,37,0.6216216216216216,0.4864864864864865,7449.999999999996,7.449999999999997
manual_agree,2022,6,0.8333333333333334,1.0,8452.5,8.4525
manual_agree,2023,11,0.6363636363636364,0.7272727272727273,6792.500000000002,6.792500000000001
manual_agree,2024,14,0.35714285714285715,0.7857142857142857,-1795.0,-1.7950000000000002
manual_agree,2025,16,0.375,0.4375,-4435.0,-4.4350000000000005
manual_disagree,2022,2,0.5,1.0,497.49999999999795,0.49749999999999794
manual_disagree,2023,4,1.0,0.75,11690.000000000004,11.690000000000003
manual_disagree,2024,5,0.6,0.6,2765.0000000000005,2.7650000000000006
manual_disagree,2025,10,0.6,0.7,4978.749999999996,4.978749999999996
